task,count,mean,std,min,max
gpt,31,2.667741935483871,0.6446637866744668,2.1,5.3
stt,31,4.516129032258065,2.628953755672086,3.2,14.4
tts,31,2.229032258064516,0.5267469654315988,1.5,3.5
waiting,31,9.416129032258064,2.5399602062753592,7.6,18.5
