task,count,mean,std,min,max
gpt,31,2.774193548387097,0.36328844548602957,2.3,3.5
stt,31,2.4935483870967743,0.8917905149644983,1.9,5.7
tts,31,0.4064516129032258,0.07273460373608397,0.3,0.6
waiting,31,5.67741935483871,0.9952251595893111,4.7,9.3
