task,count,mean,std,min,max
gpt,33,2.9,0.48476798574163293,2.3,4.2
stt,33,2.890909090909091,0.5334812768291618,2.6,5.5
tts,33,0.3212121212121212,0.08572330399888264,0.2,0.5
waiting,33,6.118181818181818,0.7804063626785028,5.2,9.0
