task,count,mean,std,min,max
gpt,30,2.92,0.5088187808288309,2.4,4.4
stt,30,2.1366666666666663,0.6573107874243109,1.8,4.8
tts,30,2.6333333333333333,0.3304472761256333,2.5,3.6
waiting,30,7.6866666666666665,0.870882759967836,6.8,10.0
