task,count,mean,std,min,max
gpt,35,2.934285714285714,0.4658596463357109,2.4,4.4
stt,35,2.3685714285714283,0.561390829873045,1.7,3.0
tts,35,2.162857142857143,0.48994940572274126,1.2,3.3
waiting,35,7.477142857142857,0.7859373251039785,5.7,9.2
